,row,CUI Part,CUI Series,status,RECOM series,RECOM Series matches,vin_min,vin_max,vout_1,vout_2,isolation,num_outputs,RECOM_Artikelnummer,RECOM_Bezeichnung 1,RECOM_Inputvoltage,RECOM_Outputvoltage,RECOM_Isolation,RECOM_ProductgroupBezeichnung,score
128,181,VHK50W-Q24-S12,vhk50w,,RP75H-RW,64,9.0,36.0,12.0,,1500.0,1.0,30004465,RP75H-2412SRW/P-HC,9-36,12,2.25KV,RP75H-RW,4.0
129,181,VHK50W-Q24-S12,vhk50w,,RP75H-RW,64,9.0,36.0,12.0,,1500.0,1.0,30004450,RP75H-2412SRW/N,9-36,12,2.25KV,RP75H-RW,4.0
130,181,VHK50W-Q24-S12,vhk50w,,RP75H-RW,64,9.0,36.0,12.0,,1500.0,1.0,30004455,RP75H-2412SRW/N-HC,9-36,12,2.25KV,RP75H-RW,4.0
131,182,VHK150W-Q24-S48,vhk150w,,REC150H-UW,6,9.0,36.0,48.0,,1500.0,1.0,21000493,REC150H-4848SUW,9-75,48,2.5KV,REC150H-UW,2.0
132,183,VHK150W-Q24-S24,vhk150w,,REC150H-UW,6,9.0,36.0,24.0,,1500.0,1.0,21000491,REC150H-4824SUW,9-75,24,2.5KV,REC150H-UW,2.0
133,185,VHK150W-Q24-S12,vhk150w,,REC150H-UW,6,9.0,36.0,12.0,,1500.0,1.0,21000490,REC150H-4812SUW,9-75,12,2.5KV,REC150H-UW,2.0
134,186,VHK100W-Q24-S5,vhk100w,,RP100H-RW,63,9.0,36.0,5.0,,1500.0,1.0,30004579,RP100H-2405SRW/P,9-36,05,2.25KV,RP100H-RW,4.0
135,186,VHK100W-Q24-S5,vhk100w,,RP100H-RW,63,9.0,36.0,5.0,,1500.0,1.0,30004584,RP100H-2405SRW/P-HC,9-36,05,2.25KV,RP100H-RW,4.0
136,186,VHK100W-Q24-S5,vhk100w,,RP100H-RW,63,9.0,36.0,5.0,,1500.0,1.0,30004574,RP100H-2405SRW/N-HC,9-36,05,2.25KV,RP100H-RW,4.0
137,186,VHK100W-Q24-S5,vhk100w,,RP100H-RW,63,9.0,36.0,5.0,,1500.0,1.0,30004569,RP100H-2405SRW/N,9-36,05,2.25KV,RP100H-RW,4.0
