,row,CUI Part,status,RECOM series,candidates,vin_min,vin_max,vout_1,vout_2,isolation_vac,# full matches,RECOM_Artikelnummer,RECOM_Bezeichnung 1,RECOM_Inputvoltage,RECOM_Outputvoltage,RECOM_Isolation,RECOM_ProductgroupBezeichnung,score
113,121,VOF-S60C-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,20001252,RACM60-12SK/OF/XR,80-264,12,4.2KV,RACM60-K,2.0
114,121,VOF-S60C-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,20001348,RACM60-12SK/OF-CTN,80-264,12,4.2KV,RACM60-K,2.0
115,121,VOF-S60C-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,21000384,RACM60-12SK/OF/PCB-T,80-264,12,4.2KV,RACM60-K,2.0
116,121,VOF-S60C-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,20001280,RACM60-12SK/OF/2x4,80-264,12,4.2KV,RACM60-K,2.0
117,121,VOF-S60C-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,20001325,RACM60-12SK/OF/2x4/6P,80-264,12,4.2KV,RACM60-K,2.0
118,121,VOF-S60C-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,20001354,RACM60-12SK/OF/2x4-CTN,80-264,12,4.2KV,RACM60-K,2.0
119,121,VOF-S60C-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,20001286,RACM60-12SK/ENC,80-264,12,4.2KV,RACM60-K,2.0
120,121,VOF-S60C-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,20001292,RACM60-12SK/ENC/2x4,80-264,12,4.2KV,RACM60-K,2.0
121,121,VOF-S60C-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,20001409,RACM60-12SK/MB/2x4,80-264,12,4.2KV,RACM60-K,2.0
122,121,VOF-S60C-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,20001327,RACM60-12SK/277/OF-T,80-305,12,4.2KV,RACM60-K,0.0
